7
	1 2	3 1	1 1	1 5	1 3	2 1	1 4
133	0	 0	 0	 0	 0	 1	 0	 
134	0	 0	 1	 0	 0	 1	 0	 
135	0	 0	 0	 0	 0	 1	 0	 
136	0	 0	 0	 0	 0	 1	 0	 
137	0	 0	 0	 0	 0	 1	 0	 
138	0	 0	 0	 0	 0	 1	 0	 
139	0	 0	 0	 0	 0	 1	 0	 
140	0	 0	 0	 0	 0	 1	 0	 
141	0	 0	 0	 0	 0	 1	 0	 
142	0	 0	 1	 0	 0	 1	 1	 
143	0	 0	 0	 0	 0	 1	 0	 
144	0	 0	 0	 0	 0	 1	 0	 
145	0	 0	 0	 0	 0	 1	 0	 
146	0	 0	 0	 0	 0	 1	 0	 
147	0	 0	 0	 0	 0	 1	 0	 
148	0	 0	 0	 0	 0	 1	 0	 
149	0	 0	 0	 0	 0	 1	 0	 
150	0	 0	 1	 0	 1	 0	 0	 
151	0	 0	 0	 0	 0	 1	 0	 
152	0	 0	 0	 0	 0	 1	 0	 
153	0	 0	 0	 0	 0	 1	 0	 
154	0	 0	 0	 0	 0	 1	 0	 
155	0	 0	 0	 0	 0	 1	 0	 
156	0	 0	 0	 0	 0	 1	 0	 
157	0	 0	 0	 0	 0	 1	 0	 
158	0	 0	 1	 0	 1	 0	 1	 
159	0	 0	 0	 0	 0	 1	 0	 
160	0	 0	 0	 0	 0	 1	 0	 
161	0	 0	 0	 0	 0	 1	 0	 
162	0	 0	 0	 0	 0	 1	 0	 
163	0	 0	 0	 0	 0	 1	 0	 
164	0	 0	 0	 0	 0	 1	 0	 
165	0	 0	 0	 0	 0	 1	 0	 
166	0	 0	 1	 0	 1	 1	 0	 
167	0	 0	 0	 0	 0	 1	 0	 
168	0	 0	 1	 0	 1	 1	 1	 
169	0	 0	 0	 0	 0	 1	 0	 
170	0	 0	 0	 0	 0	 1	 0	 
171	0	 0	 0	 0	 0	 1	 0	 
172	0	 0	 0	 0	 0	 1	 0	 
173	0	 0	 0	 0	 0	 1	 0	 
174	0	 0	 0	 0	 0	 1	 0	 
175	0	 0	 0	 0	 0	 1	 0	 
176	0	 0	 1	 1	 0	 0	 0	 
177	0	 0	 0	 0	 0	 1	 0	 
178	0	 0	 0	 0	 0	 1	 0	 
179	0	 0	 0	 0	 0	 1	 0	 
180	0	 0	 0	 0	 0	 1	 0	 
181	0	 0	 0	 0	 0	 1	 0	 
182	0	 0	 0	 0	 0	 1	 0	 
183	0	 0	 0	 0	 0	 1	 0	 
184	0	 0	 1	 1	 0	 0	 1	 
185	0	 0	 0	 0	 0	 1	 0	 
186	0	 0	 0	 0	 0	 1	 0	 
187	0	 0	 0	 0	 0	 1	 0	 
188	0	 0	 0	 0	 0	 1	 0	 
189	0	 0	 0	 0	 0	 1	 0	 
190	0	 0	 0	 0	 0	 1	 0	 
191	0	 0	 0	 0	 0	 1	 0	 
192	0	 0	 1	 1	 0	 1	 0	 
193	0	 0	 0	 0	 0	 1	 0	 
194	0	 0	 0	 0	 0	 1	 0	 
195	0	 0	 0	 0	 0	 1	 0	 
196	0	 0	 0	 0	 0	 1	 0	 
197	0	 0	 0	 0	 0	 1	 0	 
198	0	 0	 0	 0	 0	 1	 0	 
199	0	 0	 0	 0	 0	 1	 0	 
200	0	 0	 1	 1	 0	 1	 1	 
201	0	 0	 0	 0	 0	 1	 0	 
202	0	 0	 0	 0	 0	 1	 0	 
203	0	 0	 0	 0	 0	 1	 0	 
204	0	 0	 0	 0	 0	 1	 0	 
205	0	 0	 0	 0	 0	 1	 0	 
206	0	 0	 0	 0	 0	 1	 0	 
207	0	 0	 0	 0	 0	 1	 0	 
208	0	 0	 1	 1	 1	 0	 0	 
209	0	 0	 0	 0	 0	 1	 0	 
210	0	 1	 1	 0	 0	 1	 0	 
211	0	 1	 1	 0	 0	 1	 0	 
212	0	 1	 1	 0	 0	 1	 0	 
213	0	 1	 1	 0	 0	 1	 0	 
214	0	 0	 1	 1	 1	 0	 1	 
215	0	 0	 1	 1	 1	 1	 0	 
216	0	 1	 1	 0	 0	 1	 0	 
217	0	 1	 1	 0	 0	 1	 0	 
218	0	 0	 1	 1	 1	 1	 1	 
219	0	 1	 1	 0	 0	 1	 0	 
220	0	 1	 1	 0	 0	 1	 0	 
221	0	 1	 1	 0	 0	 1	 0	 
222	0	 1	 1	 0	 0	 1	 0	 
223	0	 1	 1	 0	 1	 1	 0	 
224	0	 1	 1	 0	 1	 1	 0	 
225	0	 1	 1	 0	 1	 1	 0	 
226	0	 1	 1	 0	 1	 1	 0	 
227	0	 1	 1	 0	 1	 1	 0	 
228	0	 1	 0	 0	 0	 0	 0	 
229	0	 1	 0	 0	 0	 0	 1	 
230	0	 0	 0	 0	 0	 0	 0	 
231	0	 0	 0	 0	 0	 0	 0	 
232	0	 0	 0	 0	 0	 0	 0	 
233	0	 0	 0	 0	 0	 0	 0	 
234	0	 0	 0	 0	 0	 0	 0	 
235	0	 0	 0	 0	 0	 0	 0	 
236	0	 0	 0	 0	 0	 0	 0	 
237	0	 1	 0	 0	 0	 1	 0	 
238	0	 1	 0	 0	 0	 1	 1	 
239	0	 0	 0	 0	 0	 0	 0	 
240	0	 1	 0	 0	 1	 0	 0	 
241	0	 0	 0	 0	 0	 0	 0	 
242	0	 0	 0	 0	 0	 0	 0	 
243	0	 0	 0	 0	 0	 0	 0	 
244	0	 0	 0	 0	 0	 0	 0	 
245	0	 0	 0	 0	 0	 0	 0	 
246	0	 0	 0	 0	 0	 0	 0	 
247	0	 0	 0	 0	 0	 0	 0	 
248	0	 1	 0	 0	 1	 0	 1	 
249	0	 0	 0	 0	 0	 0	 0	 
250	0	 0	 0	 0	 0	 0	 0	 
251	0	 0	 0	 0	 0	 0	 0	 
252	0	 0	 0	 0	 0	 0	 0	 
253	0	 0	 0	 0	 0	 0	 0	 
254	0	 0	 0	 0	 0	 0	 0	 
255	0	 0	 0	 0	 0	 0	 0	 
256	0	 1	 0	 0	 1	 1	 0	 
257	0	 0	 0	 0	 0	 0	 0	 
258	0	 0	 0	 0	 0	 0	 0	 
259	0	 0	 0	 0	 0	 0	 0	 
260	0	 0	 0	 0	 0	 0	 0	 
261	0	 0	 0	 0	 0	 0	 0	 
262	0	 0	 0	 0	 0	 0	 0	 
263	0	 1	 0	 0	 1	 1	 1	 
264	0	 0	 0	 0	 0	 0	 0	 
265	0	 0	 0	 0	 0	 0	 0	 
266	0	 0	 0	 0	 0	 0	 0	 
267	0	 0	 0	 0	 0	 0	 0	 
268	0	 0	 0	 0	 0	 0	 0	 
269	0	 0	 0	 0	 0	 0	 0	 
270	0	 0	 0	 0	 0	 0	 0	 
271	0	 1	 0	 1	 0	 0	 0	 
272	0	 0	 0	 0	 0	 0	 0	 
273	0	 0	 0	 0	 0	 0	 0	 
274	0	 0	 0	 0	 0	 0	 0	 
275	0	 0	 0	 0	 0	 0	 0	 
276	0	 0	 0	 0	 0	 0	 0	 
277	0	 0	 0	 0	 0	 0	 0	 
278	0	 1	 0	 1	 0	 0	 1	 
279	0	 1	 1	 0	 0	 0	 0	 
280	0	 1	 1	 0	 0	 0	 0	 
281	0	 1	 0	 1	 0	 1	 0	 
282	0	 1	 1	 1	 0	 0	 0	 
283	0	 1	 1	 1	 0	 0	 0	 
284	0	 1	 1	 1	 0	 0	 0	 
285	0	 1	 1	 1	 0	 0	 0	 
286	0	 1	 1	 1	 0	 0	 0	 
287	0	 1	 1	 1	 0	 0	 0	 
288	0	 1	 1	 1	 0	 0	 0	 
289	0	 1	 0	 1	 0	 1	 1	 
290	0	 1	 1	 1	 0	 0	 0	 
291	0	 1	 1	 1	 0	 0	 0	 
292	0	 1	 1	 1	 0	 0	 0	 
293	0	 1	 1	 1	 0	 0	 0	 
294	0	 1	 1	 1	 0	 0	 0	 
295	0	 1	 1	 1	 0	 0	 0	 
